1.1494 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
293.6656 	EXP 	window1: blendMode = 'avg'
293.6823 	EXP 	window1: blendMode = 'avg'
293.6990 	EXP 	window1: blendMode = 'avg'
293.7158 	EXP 	window1: blendMode = 'avg'
293.7323 	EXP 	window1: blendMode = 'avg'
293.7490 	EXP 	window1: blendMode = 'avg'
293.7657 	EXP 	window1: blendMode = 'avg'
293.7809 	EXP 	window1: blendMode = 'avg'
293.7977 	EXP 	window1: blendMode = 'avg'
293.8146 	EXP 	window1: blendMode = 'avg'
293.8314 	EXP 	window1: blendMode = 'avg'
293.8489 	EXP 	window1: blendMode = 'avg'
293.8653 	EXP 	window1: blendMode = 'avg'
293.8828 	EXP 	window1: blendMode = 'avg'
293.9000 	EXP 	window1: blendMode = 'avg'
293.9166 	EXP 	window1: blendMode = 'avg'
293.9321 	EXP 	window1: blendMode = 'avg'
293.9487 	EXP 	window1: blendMode = 'avg'
293.9657 	EXP 	window1: blendMode = 'avg'
293.9825 	EXP 	window1: blendMode = 'avg'
293.9985 	EXP 	window1: blendMode = 'avg'
294.0155 	EXP 	window1: blendMode = 'avg'
294.0320 	EXP 	window1: blendMode = 'avg'
294.0486 	EXP 	window1: blendMode = 'avg'
294.0651 	EXP 	window1: blendMode = 'avg'
294.0824 	EXP 	window1: blendMode = 'avg'
294.0986 	EXP 	window1: blendMode = 'avg'
294.1152 	EXP 	window1: blendMode = 'avg'
294.1319 	EXP 	window1: blendMode = 'avg'
294.1487 	EXP 	window1: blendMode = 'avg'
294.1669 	EXP 	window1: blendMode = 'avg'
294.1817 	EXP 	window1: blendMode = 'avg'
294.1987 	EXP 	window1: blendMode = 'avg'
294.2151 	EXP 	window1: blendMode = 'avg'
294.2317 	EXP 	window1: blendMode = 'avg'
294.2483 	EXP 	window1: blendMode = 'avg'
294.2653 	EXP 	window1: blendMode = 'avg'
294.2820 	EXP 	window1: blendMode = 'avg'
294.2992 	EXP 	window1: blendMode = 'avg'
294.3152 	EXP 	window1: blendMode = 'avg'
294.3308 	EXP 	window1: blendMode = 'avg'
294.3475 	EXP 	window1: blendMode = 'avg'
294.3637 	EXP 	window1: blendMode = 'avg'
294.3809 	EXP 	window1: blendMode = 'avg'
294.3976 	EXP 	window1: blendMode = 'avg'
294.4152 	EXP 	window1: blendMode = 'avg'
294.4317 	EXP 	window1: blendMode = 'avg'
294.4482 	EXP 	window1: blendMode = 'avg'
294.4648 	EXP 	window1: blendMode = 'avg'
294.4817 	EXP 	window1: blendMode = 'avg'
294.4984 	EXP 	window1: blendMode = 'avg'
294.5152 	EXP 	window1: blendMode = 'avg'
294.5316 	EXP 	window1: blendMode = 'avg'
294.5483 	EXP 	window1: blendMode = 'avg'
294.5649 	EXP 	window1: blendMode = 'avg'
294.5818 	EXP 	window1: blendMode = 'avg'
294.5983 	EXP 	window1: blendMode = 'avg'
294.6149 	EXP 	window1: blendMode = 'avg'
294.6314 	EXP 	window1: blendMode = 'avg'
294.6481 	EXP 	window1: blendMode = 'avg'
