P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31550.759765625,14525.791015625,22152.28515625,2479.56298828125,25308.9921875,-6475.0068359375,-59409.60546875,-56495.80859375,22125.6015625,-3031.306884765625,7754.8671875,18220.26953125,-25221.953125,44743.98828125,-330711.96875,18994.62109375,10041.455078125,-34584.61328125,950.2169799804688,-5662.99609375,37240.98046875,16276.84765625,25964.576171875,-23344.283203125,-1932.64599609375,35128.1015625,-373125.75,15443.904296875,36237.69921875,-37969.1171875,14875.6953125,-5353.57421875,11059.219466364999
-31534.21484375,14537.3291015625,22203.083984375,2484.551025390625,25330.91015625,-6444.31689453125,-59394.390625,-56475.5,22150.64453125,-2975.136962890625,7766.89599609375,18252.849609375,-25253.169921875,44739.828125,-330689.78125,19011.095703125,9945.02734375,-34565.19140625,956.0599975585938,-5644.0380859375,37250.82421875,16288.8115234375,25912.40625,-23325.732421875,-1899.10205078125,35146.70703125,-373100.625,15463.525390625,36250.40625,-37929.88671875,14871.7392578125,-5313.1650390625,11059.221466365
-31527.638671875,14541.150390625,22221.7109375,2485.9130859375,25341.5078125,-6429.43310546875,-59387.1015625,-56465.75390625,22159.197265625,-2953.419921875,7773.16015625,18251.580078125,-25301.23046875,44712.4453125,-330680.84375,19011.23046875,9884.466796875,-34561.05859375,926.7930297851562,-5635.421875,37246.9375,16280.6943359375,25873.322265625,-23342.30078125,-1883.8179931640625,35151.92578125,-373089.90625,15465.275390625,36239.28125,-37911.8828125,14845.11328125,-5294.72412109375,11059.223466365
-31530.943359375,14542.501953125,22205.5703125,2489.821044921875,25337.453125,-6434.93603515625,-59387.01953125,-56466.7421875,22153.896484375,-2972.547119140625,7772.6279296875,18229.21484375,-25322.0078125,44694.51171875,-330687.28125,19004.201171875,9894.271484375,-34567.546875,898.7130126953125,-5640.837890625,37241.8828125,16266.947265625,25875.130859375,-23370.513671875,-1890.0999755859375,35149.84765625,-373097.59375,15457.4443359375,36221.765625,-37921.05859375,14827.396484375,-5302.07177734375,11059.225466365
-31557.453125,14522.6171875,22157.951171875,2474.345947265625,25308.4296875,-6470.2138671875,-59410.27734375,-56493.4296875,22127.0859375,-3023.972900390625,7750.80712890625,18195.41015625,-25313.365234375,44689.34765625,-330722.09375,18980.765625,9949.09765625,-34592.74609375,884.2000122070312,-5671.841796875,37225.875,16250.4140625,25901.046875,-23392.615234375,-1926.509033203125,35128.08984375,-373135.375,15432.65625,36203.72265625,-37963.30859375,14818.9833984375,-5344.80810546875,11059.227466365
-31558.30078125,14520.779296875,22172.2265625,2468.9208984375,25309.994140625,-6466.4580078125,-59411.00390625,-56492.84375,22133.2578125,-3004.760986328125,7749.64501953125,18211.107421875,-25298.537109375,44703.26171875,-330723.25,18982.962890625,9944.7509765625,-34590.34375,902.1019897460938,-5673.01318359375,37228.5625,16261.251953125,25900.18359375,-23371.546875,-1921.8699951171875,35131.9375,-373133.78125,15436.984375,36214.4921875,-37956.1875,14830.1982421875,-5337.15380859375,11059.229466365
-31545.806640625,14528.7158203125,22211.029296875,2471.76806640625,25328.435546875,-6440.47900390625,-59399.98046875,-56477.58984375,22151.61328125,-2957.535888671875,7759.578125,18231.216796875,-25326.509765625,44692.5,-330704.375,18992.18359375,9868.9267578125,-34579.81640625,897.177001953125,-5659.02783203125,37230.3828125,16265.1318359375,25854.3671875,-23363.400390625,-1893.6429443359375,35147.203125,-373112.15625,15447.880859375,36216.60546875,-37922.046875,14820.32421875,-5302.3701171875,11059.231466365
-31536.826171875,14537.412109375,22216.71875,2480.06298828125,25337.435546875,-6431.19384765625,-59390.6953125,-56467.44140625,22156.54296875,-2953.674072265625,7767.51806640625,18224.125,-25345.291015625,44677.78515625,-330695.96875,18994.345703125,9857.32421875,-34576.21484375,877.4329833984375,-5651.1689453125,37230.00390625,16258.6953125,25846.634765625,-23377.427734375,-1882.2340087890625,35155.98828125,-373104.03125,15449.5009765625,36207.99609375,-37912.68359375,14807.7021484375,-5290.4482421875,11059.233466365
-31543.0234375,14535.37109375,22185.728515625,2482.7080078125,25326.8203125,-6447.9521484375,-59394.46875,-56475.08984375,22144.11328125,-2992.60009765625,7764.90380859375,18203.0390625,-25323.716796875,44681.1875,-330711.34375,18987.01953125,9923.2216796875,-34581.50390625,872.8909912109375,-5662.09814453125,37228.5859375,16253.3837890625,25885.640625,-23389.923828125,-1899.302001953125,35152.5703125,-373122.0,15440.544921875,36201.34375,-37934.57421875,14810.8681640625,-5314.791015625,11059.235466365
-31564.2109375,14518.1884765625,22136.8125,2471.5400390625,25298.4453125,-6487.048828125,-59415.10546875,-56500.4296875,22116.951171875,-3051.989990234375,7747.380859375,18179.513671875,-25276.81640625,44699.62890625,-330747.4375,18970.81640625,10009.9970703125,-34598.12109375,887.8380126953125,-5693.2451171875,37223.97265625,16250.1533203125,25939.962890625,-23394.3046875,-1939.2130126953125,35136.29296875,-373161.71875,15425.1064453125,36201.328125,-37981.36328125,14829.076171875,-5362.73193359375,11059.237466364999
