time stamp,marker
3206042.733900738,[388]
3206042.733315644,[388]
3206043.234508829,[389]
3206043.234315644,[389]
3206043.734703746,[390]
3206043.734315644,[390]
3206044.235042708,[391]
3206044.234315644,[391]
3206044.735406104,[392]
3206044.735315644,[392]
3206045.235532098,[393]
3206045.235315644,[393]
3206045.736387801,[394]
3206045.736315644,[394]
3206046.236571413,[395]
3206046.236315644,[395]
3206046.737242956,[396]
3206046.736315644,[396]
3206047.238095377,[397]
3206047.237315644,[397]
3206047.738068938,[398]
3206047.737315644,[398]
3206048.238369975,[399]
3206048.238315644,[399]
3206048.739493347,[400]
3206048.739315644,[400]
3206049.239801312,[401]
3206049.239315644,[401]
3206049.739883545,[402]
3206049.739315644,[402]
3206050.240479966,[403]
3206050.240315644,[403]
3206050.741077117,[404]
3206050.740315644,[404]
3206051.241174302,[405]
3206051.240315644,[405]
3206051.741196729,[406]
3206051.740315644,[406]
3206052.241523657,[407]
3206052.2413156442,[407]
3206052.741992808,[408]
3206052.7413156442,[408]
3206053.242242426,[409]
3206053.2413156442,[409]
3206053.742416192,[410]
3206053.742315644,[410]
3206054.242570266,[411]
3206054.242315644,[411]
3206054.742832647,[412]
3206054.742315644,[412]
3206055.243174892,[413]
3206055.242315644,[413]
3206055.743316567,[414]
3206055.742315644,[414]
3206056.244191962,[415]
3206056.243315644,[415]
3206056.744569215,[416]
3206056.744315644,[416]
3206057.245531037,[417]
3206057.245315644,[417]
3206057.745795971,[418]
3206057.745315644,[418]
3206058.246113418,[419]
3206058.245315644,[419]
3206058.746485566,[420]
3206058.746315644,[420]
3206059.246748312,[421]
3206059.246315644,[421]
3206059.74689181,[422]
3206059.746315644,[422]
3206060.246875217,[423]
3206060.246315644,[423]
3206060.747715604,[424]
3206060.747315644,[424]
3206061.247742772,[425]
3206061.247315644,[425]
3206061.748176914,[426]
3206061.747315644,[426]
3206062.249049391,[427]
3206062.248315644,[427]
3206062.749369756,[428]
3206062.749315644,[428]
3206063.249771077,[429]
3206063.249315644,[429]
3206063.750250803,[430]
3206063.749315644,[430]
3206064.250414358,[431]
3206064.250315644,[431]
3206064.750490028,[432]
3206064.750315644,[432]
3206065.251353388,[433]
3206065.251315644,[433]
3206065.751846242,[434]
3206065.751315644,[434]
3206066.251925194,[435]
3206066.251315644,[435]
3206066.752606583,[436]
3206066.752315644,[436]
3206067.25264068,[437]
3206067.252315644,[437]
3206067.75337677,[438]
3206067.753315644,[438]
3206068.254293009,[439]
3206068.253315644,[439]
3206068.755248996,[440]
3206068.754315644,[440]
3206069.25623671,[441]
3206069.255315644,[441]
3206069.756725188,[442]
3206069.756315644,[442]
3206070.257743534,[443]
3206070.257315644,[443]
3206070.758401949,[444]
3206070.758315644,[444]
3206071.259194564,[445]
3206071.258315644,[445]
3206071.759359578,[446]
3206071.759315644,[446]
3206072.259889264,[447]
3206072.259315644,[447]
3206072.760865308,[448]
3206072.760315644,[448]
3206073.261245843,[449]
3206073.260315644,[449]
3206073.761316042,[450]
3206073.760315644,[450]
3206074.261696942,[451]
3206074.261315644,[451]
3206074.762495027,[452]
3206074.762315644,[452]
3206075.263411265,[453]
3206075.263315644,[453]
3206075.76409776,[454]
3206075.763315644,[454]
3206076.264724813,[455]
3206076.264315644,[455]
3206076.765289143,[456]
3206076.764315644,[456]
3206077.266153962,[457]
3206077.265315644,[457]
3206077.766980126,[458]
3206077.766315644,[458]
3206078.267485015,[459]
3206078.267315644,[459]
3206078.767641641,[460]
3206078.767315644,[460]
3206079.267870473,[461]
3206079.267315644,[461]
3206079.768067578,[462]
3206079.767315644,[462]
3206080.268303703,[463]
3206080.267315644,[463]
3206080.76866564,[464]
3206080.768315644,[464]
3206081.268707759,[465]
3206081.268315644,[465]
3206081.769172534,[466]
3206081.768315644,[466]
3206082.270124145,[467]
3206082.269315644,[467]
3206082.770701968,[468]
